"term","definition","alt label","source","source cited","link source","notes"
"vocabulary encoding scheme","A Vocabulary Encoding Scheme (VES) resp. Concept Scheme identifies controlled vocabularies - such as thesauri, classifications, subject headings, taxonomies, etc. - whose terms may be used as values. The relationship between Dublin Core vocabulary encoding schemes and properties is as follows: Certain properties - e.g. subject, coverage, etc. - may be constrained by a Vocabulary Encodings Scheme, where the Vocabulary Encodings Scheme dictates what values may be used with that property.","concept scheme, ","Dublin Core","NISO TR-06-2017","","sub type of controlled vocabulary"
"authority file","A list of the authoritative forms of the headings used in a library catalog or file of bibliographic records, maintained to ensure that headings are applied consistently as new items are added to the collection. Separate authority files are usually maintained for names, uniform titles, series titles, and subjects. All the references made to and from a given heading are also included in the file. See also: authority control. ","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"hierarchical classification","A classification system in which the classes are subdivided on the principle of logical subordination, from the most general subjects to the most specific. Hierarchical classification can be broad or close.","analytic classification","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"enumerative classification","A classification system in which each subject is developed to the point of indivisibility and a notation assigned for every subdivision (example: Library of Congress Classification). ","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"synthetic classification","A classification system in which the classes are formed by combining characteristics or facets of subjects according to a pre-established set of rules (example: Colon Classificationdeveloped by S.R. Ranganathan).","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"hierarchy ","The arrangement of classes in a classification system, from the most general to the most specific. In a classification schedule, hierarchy is usually indicated by length of notation and depth of indention, as in the following example from Dewey Decimal Classification","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"taxonomy","The science of classification, including the general principles by which objects and phenomena are divided into classes, which are subdivided into subclasses, then into sub-subclasses, and so on.","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"Vocabulary Encoding Scheme (VES)","Concept Scheme identifies controlled vocabularies—such as thesauri, classifications, subject headings, taxonomies, etc.—whose terms may be used as values.","concept scheme, ","Dublin Core","NISO TR-06-2017","https://github.com/dcmi/repository/blob/master/mediawiki_wiki/User_Guide.md","subclasses: thesauri, classifications,
subject headings, taxonomies"
"controlled-list data element","In library cataloging, a data element in the MARC record whose content is determined by a list maintained by a designated agency, for example, the MARC Code List for Geographic Areas in the case of field 043 (Geographic Area Code) of the bibliographic format, a list controlled by the Library of Congress. This type of data element is indicated at the field or subfield level in MARC 21, and only values from the designated list may be used. If a change or addition is desired in a list, the maintenance agency must be consulted. (MARC 21 Concise Formats)","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"vocabulary mapping","A function built into the search software of some bibliographic databases that allows the user to relate a specific search term to the appropriate subject heading(s) or descriptor(s), read a scope note explaining how the heading is used, view the hierarchical tree of headings to which it belongs, and select broader headings or narrower terms or subheadings to include in the search.","mapping","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"thesaurus","A thesaurus is a tool used for vocabulary control. Using a thesaurus improves search results. A thesaurus is a sub-set of the language we use in daily life. It includes information about the relationships of words and phrases (i.e. broader terms, narrower terms, preferred terms, non-preferred, or related terms). A thesaurus is normally restricted to a specific subject field (e.g. health, education, government documents). It allows searchers to use terminology they are familiar with to find the most relevant information.","","canadian gov","","http://www.bac-lac.gc.ca/eng/services/government-information-resources/controlled-vocabularies/Pages/how-to-register-controlled-vocabulary.aspx",""
" flat list of preferred terms","A flat list of preferred terms is an established list of standardized terminology for use in indexing and retrieval of information. It may or may not be arranged in alphabetical order and it does not display relationships between terms. A flat list is normally restricted to a specific kind of information (e.g. types of documents, categories of users). It is usually relatively short.","","canadian gov","","http://www.bac-lac.gc.ca/eng/services/government-information-resources/controlled-vocabularies/Pages/how-to-register-controlled-vocabulary.aspx",""
